Zone,Time,Station,Temp
MTZ139,10:00:00+00:00,CLCM8,Not given
MTZ139,09:48:00+00:00,BRTM8,14.444
MTZ139,09:29:00+00:00,HBOM8,19.444
MTZ139,09:18:00+00:00,PMRM8,20
MTZ139,09:00:00+00:00,CLCM8,Not given
MTZ139,08:48:00+00:00,BRTM8,15
MTZ139,08:18:00+00:00,PMRM8,20.556
MTZ139,08:00:00+00:00,CLCM8,Not given
MTZ139,07:00:00+00:00,CLCM8,Not given
MTZ139,06:48:00+00:00,BRTM8,16.111
MTZ139,06:18:00+00:00,PMRM8,22.222
MTZ139,05:29:00+00:00,HBOM8,24.444
MTZ139,04:29:00+00:00,HBOM8,26.111
MTZ139,04:18:00+00:00,PMRM8,21.66702
MTZ139,03:48:00+00:00,BRTM8,15.556
MTZ139,03:29:00+00:00,HBOM8,27.222
MTZ139,03:18:00+00:00,PMRM8,22.222
MTZ139,03:00:00+00:00,CLCM8,Not given
MTZ139,02:29:00+00:00,HBOM8,30
MTZ139,01:18:00+00:00,PMRM8,23.889
MTZ139,00:48:00+00:00,BRTM8,21.66702
MTZ139,00:18:00+00:00,PMRM8,23.889
MTZ139,00:00:00+00:00,CLCM8,Not given
MTZ139,23:29:00+00:00,HBOM8,33.889
MTZ139,23:18:00+00:00,PMRM8,26.111
MTZ139,22:48:00+00:00,BRTM8,23.333
MTZ139,22:29:00+00:00,HBOM8,33.889
MTZ139,21:48:00+00:00,BRTM8,24.444
MTZ139,21:18:00+00:00,PMRM8,26.111
MTZ139,21:00:00+00:00,CLCM8,Not given
MTZ139,20:18:00+00:00,PMRM8,26.66702
MTZ139,19:00:00+00:00,CLCM8,Not given
MTZ139,06:48:00+00:00,BRTM8,14.444
MTZ139,06:29:00+00:00,HBOM8,20.556
MTZ139,06:18:00+00:00,PMRM8,18.333
MTZ139,05:48:00+00:00,BRTM8,14.444
MTZ139,05:29:00+00:00,HBOM8,21.111
MTZ139,05:18:00+00:00,PMRM8,18.889
MTZ139,05:00:00+00:00,CLCM8,Not given
MTZ139,04:48:00+00:00,BRTM8,14.444
MTZ139,04:29:00+00:00,HBOM8,21.66702
MTZ139,04:18:00+00:00,PMRM8,20
MTZ139,04:00:00+00:00,CLCM8,Not given
MTZ139,03:48:00+00:00,BRTM8,14.444
MTZ139,03:29:00+00:00,HBOM8,21.66702
MTZ139,03:18:00+00:00,PMRM8,18.889
MTZ139,03:00:00+00:00,CLCM8,Not given
MTZ139,02:48:00+00:00,BRTM8,13.889
MTZ139,02:29:00+00:00,HBOM8,21.66702
MTZ139,02:18:00+00:00,PMRM8,18.889
MTZ139,02:00:00+00:00,CLCM8,Not given
MTZ139,01:48:00+00:00,BRTM8,13.333
MTZ139,01:29:00+00:00,HBOM8,23.333
MTZ139,01:18:00+00:00,PMRM8,18.889
MTZ139,01:00:00+00:00,CLCM8,Not given
MTZ139,00:48:00+00:00,BRTM8,12.778
MTZ139,00:29:00+00:00,HBOM8,25.556
MTZ139,00:18:00+00:00,PMRM8,17.778
MTZ139,00:00:00+00:00,CLCM8,Not given
MTZ139,23:48:00+00:00,BRTM8,17.222
MTZ139,23:29:00+00:00,HBOM8,28.889
MTZ139,23:18:00+00:00,PMRM8,17.778
MTZ139,23:00:00+00:00,CLCM8,Not given
MTZ139,22:48:00+00:00,BRTM8,18.889
MTZ139,22:29:00+00:00,HBOM8,32.222
MTZ139,22:18:00+00:00,PMRM8,22.778
MTZ139,22:00:00+00:00,CLCM8,Not given
MTZ139,21:48:00+00:00,BRTM8,23.333
MTZ139,21:29:00+00:00,HBOM8,31.66702
MTZ139,21:18:00+00:00,PMRM8,27.222
MTZ139,21:00:00+00:00,CLCM8,Not given
MTZ139,20:48:00+00:00,BRTM8,22.778
MTZ139,20:29:00+00:00,HBOM8,31.66702
MTZ139,20:18:00+00:00,PMRM8,26.111
MTZ139,20:00:00+00:00,CLCM8,Not given
MTZ139,19:48:00+00:00,BRTM8,21.66702
MTZ139,19:29:00+00:00,HBOM8,30
MTZ139,19:18:00+00:00,PMRM8,25.556
MTZ139,19:00:00+00:00,CLCM8,Not given
MTZ139,18:48:00+00:00,BRTM8,19.444
MTZ139,18:29:00+00:00,HBOM8,27.778
MTZ139,18:18:00+00:00,PMRM8,25
MTZ139,18:00:00+00:00,CLCM8,Not given
MTZ139,17:48:00+00:00,BRTM8,16.111
MTZ139,17:29:00+00:00,HBOM8,24.444
MTZ139,17:18:00+00:00,PMRM8,21.66702
MTZ139,17:00:00+00:00,CLCM8,Not given
MTZ139,16:48:00+00:00,BRTM8,14.444
MTZ139,16:29:00+00:00,HBOM8,23.333
MTZ139,16:18:00+00:00,PMRM8,20
MTZ139,16:00:00+00:00,CLCM8,Not given
MTZ139,15:48:00+00:00,BRTM8,15
MTZ139,15:29:00+00:00,HBOM8,23.889
MTZ139,15:18:00+00:00,PMRM8,20
MTZ139,15:00:00+00:00,CLCM8,Not given
MTZ139,14:48:00+00:00,BRTM8,14.444
MTZ139,14:29:00+00:00,HBOM8,22.222
MTZ139,14:18:00+00:00,PMRM8,18.333
MTZ139,14:00:00+00:00,CLCM8,Not given
MTZ139,13:48:00+00:00,BRTM8,13.889
MTZ139,13:29:00+00:00,HBOM8,21.66702
MTZ139,13:18:00+00:00,PMRM8,18.889
MTZ139,13:00:00+00:00,CLCM8,Not given
MTZ139,12:48:00+00:00,BRTM8,12.778
MTZ139,12:29:00+00:00,HBOM8,22.778
MTZ139,12:18:00+00:00,PMRM8,17.778
MTZ139,12:00:00+00:00,CLCM8,14.6
MTZ139,11:48:00+00:00,BRTM8,12.778
MTZ139,11:29:00+00:00,HBOM8,25
MTZ139,11:18:00+00:00,PMRM8,18.333
MTZ139,10:48:00+00:00,BRTM8,12.778
MTZ139,10:29:00+00:00,HBOM8,25
MTZ139,10:18:00+00:00,PMRM8,19.444
MTZ139,10:00:00+00:00,CLCM8,15.6
MTZ139,09:48:00+00:00,BRTM8,13.333
MTZ139,09:29:00+00:00,HBOM8,25
MTZ139,09:18:00+00:00,PMRM8,20
MTZ139,08:48:00+00:00,BRTM8,15.556
MTZ139,08:29:00+00:00,HBOM8,23.889
MTZ139,08:18:00+00:00,PMRM8,20.556
MTZ139,07:48:00+00:00,BRTM8,16.111
MTZ139,07:29:00+00:00,HBOM8,24.444
MTZ139,07:18:00+00:00,PMRM8,20.556
MTZ139,06:48:00+00:00,BRTM8,17.222
MTZ139,06:29:00+00:00,HBOM8,25
MTZ139,06:18:00+00:00,PMRM8,21.111
MTZ139,05:48:00+00:00,BRTM8,16.111
MTZ139,05:29:00+00:00,HBOM8,25.556
MTZ139,05:18:00+00:00,PMRM8,20.556
MTZ139,05:00:00+00:00,CLCM8,Not given
MTZ139,04:48:00+00:00,BRTM8,16.111
MTZ139,04:29:00+00:00,HBOM8,26.111
MTZ139,04:18:00+00:00,PMRM8,20.556
MTZ139,04:00:00+00:00,CLCM8,Not given
MTZ139,03:48:00+00:00,BRTM8,16.667
MTZ139,03:29:00+00:00,HBOM8,27.778
MTZ139,03:18:00+00:00,PMRM8,20
MTZ139,03:00:00+00:00,CLCM8,Not given
MTZ139,02:48:00+00:00,BRTM8,16.667
MTZ139,02:29:00+00:00,HBOM8,28.333
MTZ139,02:18:00+00:00,PMRM8,20
MTZ139,02:00:00+00:00,CLCM8,Not given
MTZ139,01:48:00+00:00,BRTM8,16.667
MTZ139,01:29:00+00:00,HBOM8,28.889
MTZ139,01:18:00+00:00,PMRM8,21.111
MTZ139,01:00:00+00:00,CLCM8,Not given
MTZ139,00:48:00+00:00,BRTM8,17.222
MTZ139,00:29:00+00:00,HBOM8,29.444
MTZ139,00:18:00+00:00,PMRM8,21.66702
MTZ139,23:48:00+00:00,BRTM8,17.222
MTZ139,23:29:00+00:00,HBOM8,29.444
MTZ139,23:18:00+00:00,PMRM8,21.66702
MTZ139,23:00:00+00:00,CLCM8,Not given
MTZ139,22:48:00+00:00,BRTM8,17.222
MTZ139,22:29:00+00:00,HBOM8,28.333
MTZ139,22:18:00+00:00,PMRM8,21.111
MTZ139,21:48:00+00:00,BRTM8,17.778
MTZ139,21:29:00+00:00,HBOM8,30
MTZ139,21:18:00+00:00,PMRM8,19.444
MTZ139,21:00:00+00:00,CLCM8,Not given
MTZ139,20:48:00+00:00,BRTM8,17.222
MTZ139,20:29:00+00:00,HBOM8,29.444
MTZ139,20:18:00+00:00,PMRM8,23.333
MTZ139,19:48:00+00:00,BRTM8,18.889
MTZ139,19:29:00+00:00,HBOM8,30
MTZ139,19:18:00+00:00,PMRM8,23.889
MTZ139,19:00:00+00:00,CLCM8,Not given
MTZ139,18:48:00+00:00,BRTM8,19.444
MTZ139,18:29:00+00:00,HBOM8,30
MTZ139,18:18:00+00:00,PMRM8,22.778
MTZ139,18:00:00+00:00,CLCM8,Not given
MTZ139,17:48:00+00:00,BRTM8,18.333
MTZ139,17:29:00+00:00,HBOM8,28.889
MTZ139,17:18:00+00:00,PMRM8,22.778
MTZ139,17:00:00+00:00,CLCM8,Not given
MTZ139,16:48:00+00:00,BRTM8,20.556
MTZ139,16:29:00+00:00,HBOM8,28.889
MTZ139,16:18:00+00:00,PMRM8,19.444
MTZ139,16:00:00+00:00,CLCM8,Not given
MTZ139,15:48:00+00:00,BRTM8,19.444
MTZ139,15:29:00+00:00,HBOM8,28.889
MTZ139,15:18:00+00:00,PMRM8,18.333
MTZ139,14:48:00+00:00,BRTM8,17.222
MTZ139,14:29:00+00:00,HBOM8,27.778
MTZ139,14:18:00+00:00,PMRM8,18.889
MTZ139,14:00:00+00:00,CLCM8,Not given
MTZ139,13:48:00+00:00,BRTM8,17.778
MTZ139,13:29:00+00:00,HBOM8,27.778
MTZ139,13:18:00+00:00,PMRM8,19.444
MTZ139,12:48:00+00:00,BRTM8,16.667
MTZ139,12:29:00+00:00,HBOM8,27.222
MTZ139,12:18:00+00:00,PMRM8,20.556
MTZ139,11:48:00+00:00,BRTM8,16.111
MTZ139,11:29:00+00:00,HBOM8,27.778
MTZ139,11:18:00+00:00,PMRM8,20.556
MTZ139,11:00:00+00:00,CLCM8,Not given
MTZ139,10:48:00+00:00,BRTM8,17.778
MTZ139,10:29:00+00:00,HBOM8,27.778
MTZ139,10:18:00+00:00,PMRM8,20
MTZ139,10:00:00+00:00,CLCM8,Not given
MTZ139,09:48:00+00:00,BRTM8,18.889
MTZ139,09:29:00+00:00,HBOM8,30
MTZ139,09:18:00+00:00,PMRM8,21.111
MTZ139,09:00:00+00:00,CLCM8,Not given
MTZ139,08:48:00+00:00,BRTM8,21.111
MTZ139,08:29:00+00:00,HBOM8,32.778
MTZ139,08:18:00+00:00,PMRM8,22.222
MTZ139,08:00:00+00:00,CLCM8,Not given
MTZ139,07:48:00+00:00,BRTM8,21.66702
MTZ139,07:29:00+00:00,HBOM8,32.222
MTZ139,07:18:00+00:00,PMRM8,25
MTZ139,06:48:00+00:00,BRTM8,21.66702
MTZ139,06:29:00+00:00,HBOM8,32.778
MTZ139,06:18:00+00:00,PMRM8,25
MTZ139,06:00:00+00:00,CLCM8,Not given
MTZ139,05:48:00+00:00,BRTM8,21.111
MTZ139,05:29:00+00:00,HBOM8,33.333
MTZ139,05:18:00+00:00,PMRM8,25
MTZ139,04:48:00+00:00,BRTM8,21.66702
MTZ139,04:29:00+00:00,HBOM8,33.889
MTZ139,04:18:00+00:00,PMRM8,26.111
MTZ139,04:00:00+00:00,CLCM8,Not given
MTZ139,03:48:00+00:00,BRTM8,22.778
MTZ139,03:29:00+00:00,HBOM8,34.444
MTZ139,03:18:00+00:00,PMRM8,26.111
MTZ139,03:00:00+00:00,CLCM8,Not given
MTZ139,02:48:00+00:00,BRTM8,22.778
